well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct
42003480470000,932.7662420427536,9.22717600287342,2,1.0
42003480480000,978.3594448779858,25.355294259068852,3,1.0
42003480700000,1209.2164219713748,24.98999999999978,1,0.43269637194102445
42003480710000,906.4017755631511,13.609692282673674,2,1.0
42003480720000,774.2285790159535,22.751509055898232,2,1.0
42003480730000,1007.215091588856,16.47261843566471,2,1.0
42003480740000,869.6788756753413,11.285015569015796,2,1.0
42003480750000,1026.7725296791596,11.899999999999636,1,0.9944879443906172
42003480800000,,,0,
42003480810000,919.8788221155014,42.9093694199165,2,1.0
42003480820000,864.0781144915818,37.30749999999989,1,1.0
42003480830000,929.5259487871996,2.151829957407902,2,1.0
42003480840000,1316.9868795234124,76.60000000000036,1,0.512708368067129
42003480880000,,,0,
42003480890000,1275.9506241084362,75.93899999999849,1,0.8895127653771352
42003480920000,885.6118299155692,21.23645862952006,2,1.0
42003481100100,1262.4924785543317,51.64000000000124,1,0.8704277465203628
42003481210000,651.4736220395279,0.9649999999992361,1,0.996738795499312
42003481720000,509.10687239838353,198.4375,1,0.6555176036144515
42003481730000,,,0,
42003482040100,1104.2479045148002,6.782324429108492,2,1.0
42003482050000,1316.982669876984,13.365999999998166,1,0.8965918403224179
42003482200000,,,0,
42003482220000,,,0,
42003482990000,1292.7153381084038,23.778001511352084,2,1.0
42003483390000,,,0,
42003483400000,1255.6712801873005,56.3904999999977,1,1.0
42003483510000,,,0,
42003483520000,,,0,
42003483580000,,,0,
42003483780000,1215.2226370185633,6.536000000000058,1,1.0
42003483790000,,,0,
42003483800000,,,0,
42003483830000,,,0,
42003483840000,1123.765693617582,79.33699999999953,1,0.9459118375569715
42003484200000,866.2649717488374,14.660571158544188,2,1.0
42003484300000,1314.8330003514006,38.65599999999995,1,0.9873300774631094
42003484660000,886.665778646733,22.20087526408108,2,1.0
42003484670000,849.152572182476,47.64858111684056,2,1.0
42003484680000,790.0658724571158,31.638001538012343,2,1.0
42003484690000,1039.4654800923975,19.315328708046508,2,1.0
42003484760000,1244.2825471829556,7.4123679441256565,2,1.0
42003484770000,,,0,
42003484780000,,,0,
42003484780100,13.341296861852053,75.19350000000122,1,0.06217808485510424
42003485080100,,,0,
42003485090000,,,0,
42003485100000,1299.5239775203875,44.70000000000073,1,0.7376568814791025
42003485110000,1299.573498688465,44.70000000000072,1,0.9871821507881602
42003485120000,,,0,
42003485120100,1233.104622329071,50.097873810739074,4,1.0
42003485190000,1133.2589462423625,2.072999999998501,1,0.9949234568026181
42003485200000,1171.8306939965812,41.52428964783046,2,1.0
42003485210000,1286.1158729325718,83.14975272247158,2,1.0
42003485220000,641.5061569924218,73.94277459793987,5,1.0
42003485220100,461.6095510410602,53.24565152614327,4,1.0
42003485220200,533.7980071435521,86.43819060903385,4,1.0
42003485350000,1318.4054224473168,14.5,1,0.9660266101262498
42003485360000,1318.4103186351836,14.5,1,0.9913013470104399
42003485850100,100.27037410004382,85.62750000000233,1,0.9687859814348415
42003485850200,716.1591315910835,53.19239037445381,2,1.0
42003485860000,1247.0507337879628,25.23449999999866,1,0.81923506673834
42003485990000,,,0,
42003486000000,,,0,
42003486550000,509.110814061121,198.4375,1,0.4062349764590358
42003486560000,991.8314127719281,40.503000000000604,1,0.7625286531542956
42003486570000,835.5303732666722,53.820014226905094,2,1.0
42003486600000,0.8242517011112044,49.58550000000105,1,1.0
42003486600100,0.8242516941082123,49.58550000000105,1,0.8578966312148555
42003486940000,,,0,
42003486970000,,,0,
42003487250000,1280.8259963392413,7.060999999999694,1,0.9938686564614292
42003487260000,1157.9584660873725,21.24591051971965,2,1.0
42003487280000,,,0,
42003487290000,,,0,
42003487610000,990.1120021480535,3.6957320304954897,2,1.0
42003487620000,646.9094695127211,8.817736134683662,3,1.0
42003487620100,714.9391515113925,9.535844854531518,3,1.0
42003488020000,1317.0717831047343,76.60000000000036,1,0.7955524598350144
42003488030000,885.3082361446623,0.006999999999607098,1,0.9896105778675354
42003488060000,,,0,
42003488190000,,,0,
42003488200000,,,0,
42003488380000,,,0,
42003488390100,,,0,
42003488390300,98.07729371507357,130.04700000000048,1,0.15039651043106309
42003488420000,,,0,
42003488430000,899.5726452703042,75.5482649692596,2,1.0
42003488450000,1248.1358973656627,73.58563679398398,3,1.0
42003488460000,1288.80549042314,24.960000000000946,1,0.9924274694233766
42003488480000,18.82576040041536,17.269999999998618,1,0.9849754485679678
42003488480100,18.828038007531553,17.269999999998618,1,0.6666314558857875
42003488490000,,,0,
42003488500000,425.0683599381839,33.22080509847172,2,1.0
42003488500100,767.5053359295982,35.57769252909641,3,1.0
42003488510000,1272.38880816167,13.010000000000218,1,0.9999141489564584
42003488650000,,,0,
42003488650100,34.629250487326836,33.6150000000016,1,0.239700272548996
42003488670000,,,0,
42003488680000,,,0,
42003488870000,1308.043369461689,32.470000000001164,1,0.9899518848323632
42003488880000,1308.0406751973787,32.470000000001164,1,0.9990193891483214
42003488890000,,,0,
42003488900100,,,0,
42003488910000,1318.348358045445,70.32500000000073,1,0.6383111265685815
42003488930000,,,0,
42003488950000,920.8162750762563,42.156494848114626,2,1.0
42003488960000,847.5692942634442,7.972682390906101,2,1.0
