well_i,wps_cardinal,wps_iframe,wps_corridor,anisotropy_ratio,anisotropy_delta,azimuth_deg,mid_x,mid_y
42003471160000,12,11,11,0.9166666666666666,-1.0,167.30258982497824,2409954.9504394876,11687020.255287575
42003471170000,8,8,8,1.0,0.0,166.41894313347544,2406463.489219457,11686987.371265067
42003471180100,8,8,8,1.0,0.0,166.53006149354232,2405237.960177617,11686785.978010755
42003471260000,3,3,5,1.0,0.0,344.40080586479155,2313921.126789409,11693537.17553645
42003471770000,6,4,4,0.6666666666666666,-2.0,162.39714638439935,2349202.4005413363,11782087.352590952
42003471830000,7,5,5,0.7142857142857143,-2.0,165.07637765926148,2396477.958883198,11680504.342527937
42003471920000,6,4,5,0.6666666666666666,-2.0,162.2206997009527,2358560.9171205154,11669947.182505138
42003471970000,7,7,7,1.0,0.0,165.92515363834457,2400237.331647016,11682142.223454077
42003472060000,6,6,6,1.0,0.0,345.16069272869566,2343469.9912211294,11658556.593631364
42003472070000,6,6,5,1.0,0.0,346.5528350543117,2342214.2933284473,11658240.260031708
42003472140000,5,4,4,0.8,-1.0,162.2547990596305,2374811.3155791275,11762403.979030095
42003472190000,4,3,3,0.75,-1.0,343.28362116513983,2353074.6468292265,11678543.482178222
42003472210000,7,7,7,1.0,0.0,8.536078218646356,2411622.9808300445,11695897.51593089
42003472430000,13,12,12,0.9230769230769231,-1.0,343.93665196092195,2410324.3878654446,11689406.60814172
42003472480000,2,1,1,0.5,-1.0,345.0915109459052,2382824.004240212,11804135.517520845
42003472490000,3,2,2,0.6666666666666666,-1.0,165.91043933235716,2384304.398425717,11798437.830857292
42003472710000,10,12,12,1.2,2.0,345.4785341862369,2319322.1294814404,11700179.816512914
42003472790000,3,2,2,0.6666666666666666,-1.0,166.00360618614033,2360450.4835279295,11810871.08065908
42003472840000,4,4,4,1.0,0.0,346.1545833014866,2420359.2698809355,11699912.72403521
42003472910000,8,6,6,0.75,-2.0,163.17728970671325,2342468.58538459,11780025.337137908
42003472960000,2,2,2,1.0,0.0,345.76308377627987,2339045.8511207933,11666129.647238314
42003473130000,4,4,4,1.0,0.0,337.39197011439103,2416976.259142057,11704368.564583153
42003473240000,4,4,4,1.0,0.0,346.59827051262033,2346514.650996287,11659724.70752082
42003473400000,5,6,6,1.2,1.0,345.24285079972316,2421646.0862515615,11689711.501114475
42003473410000,8,6,6,0.75,-2.0,165.99379730024816,2419400.5225964524,11690288.56989893
42003473520000,6,6,6,1.0,0.0,345.77461067640024,2398639.1831348706,11684885.681488194
42003473640000,8,8,8,1.0,0.0,166.19883378839012,2385549.0118603315,11678796.785435554
42003473650000,6,6,6,1.0,0.0,343.1325237691323,2387982.5281572235,11677952.216947377
42003473710000,9,9,10,1.0,0.0,345.9336050619319,2367112.0858893506,11811541.453321131
42003473730000,11,11,12,1.0,0.0,345.4361372523971,2369842.525541881,11812347.562709313
42003473740000,4,4,4,1.0,0.0,165.30637915191687,2363205.9796894565,11756130.91130003
42003473750000,3,2,2,0.6666666666666666,-1.0,159.41510816513974,2360714.8966061296,11756772.503755257
42003473890000,4,4,4,1.0,0.0,342.8463284512401,2338583.1592834173,11674123.80933836
42003473970000,7,7,7,1.0,0.0,166.19927612205294,2344213.3059142334,11658481.969706915
42003473980000,4,4,5,1.0,0.0,162.65711905064123,2362147.444135741,11671227.278105337
42003473990000,5,4,4,0.8,-1.0,162.92295080044616,2355641.5978447665,11673319.162464872
42003474130000,4,3,3,0.75,-1.0,161.95289295029733,2389131.2211463167,11694844.850728063
42003474200000,6,5,5,0.8333333333333334,-1.0,346.17292126787925,2418927.611413072,11675978.810112294
42003474210000,1,1,1,1.0,0.0,166.11821901817038,2309058.139304169,11706921.560077399
42003474230000,6,7,7,1.1666666666666667,1.0,166.32582492266792,2412026.653896029,11680469.237540964
42003474240000,5,4,4,0.8,-1.0,165.7489320308535,2365293.0357135744,11809630.046098428
42003474290000,7,7,7,1.0,0.0,345.51056068338943,2369135.465583507,11810771.765289076
42003474300000,3,3,3,1.0,0.0,165.99504816673186,2382851.628769607,11797943.415705442
42003474310000,7,6,6,0.8571428571428571,-1.0,346.22462547194175,2417260.6156139746,11675490.438407686
42003474350000,2,2,2,1.0,0.0,165.86022546044637,2381193.8085922324,11797421.040615555
42003474360000,7,6,6,0.8571428571428571,-1.0,164.82136299306563,2379199.6375753963,11807898.45347004
42003474370000,9,7,6,0.7777777777777778,-2.0,164.8367538204368,2378080.7188911415,11807498.96943785
42003474550000,6,5,5,0.8333333333333334,-1.0,346.27838289012413,2366583.6475123633,11810024.000164917
42003474570000,6,6,6,1.0,0.0,165.0926297167128,2345746.4906655885,11770348.102732357
42003474580000,6,6,6,1.0,0.0,345.04180309417023,2372507.961826306,11811806.67583542
42003474640000,4,4,4,1.0,0.0,166.8022393625066,2419216.9917200534,11698840.133133415
42003474760000,7,6,6,0.8571428571428571,-1.0,166.0622981685624,2366793.333180365,11793310.463096756
42003474780000,3,2,2,0.6666666666666666,-1.0,346.0252225383231,2396791.2418320607,11674213.157536017
42003474790000,6,5,5,0.8333333333333334,-1.0,166.2871393869231,2369436.426743671,11794149.059418228
42003474820000,5,4,4,0.8,-1.0,165.47736183742936,2361791.437425928,11791483.342785519
42003474840000,7,6,6,0.8571428571428571,-1.0,165.9915110902168,2364438.0974557614,11792264.790008541
42003474860000,1,1,1,1.0,0.0,345.27044663740196,2348152.9891389003,11810013.480719196
42003474880000,6,5,5,0.8333333333333334,-1.0,343.49971153893847,2375646.9240087676,11675767.335640926
42003474890000,6,5,5,0.8333333333333334,-1.0,343.1685858653914,2381543.235671784,11681337.986752743
42003475000000,8,7,7,0.875,-1.0,343.81918013533556,2378657.217644903,11676310.709541144
42003475120000,9,5,5,0.5555555555555556,-4.0,346.24089969176947,2415213.73860142,11674985.063090557
42003475210000,4,4,4,1.0,0.0,165.4705767998695,2383095.899121468,11809170.40771815
42003475230000,11,7,9,0.6363636363636364,-4.0,348.08722981076704,2411821.1346469875,11691358.846347306
42003475320000,8,8,8,1.0,0.0,346.05606445680235,2375007.6935931016,11808753.760110732
42003475330000,3,2,1,0.6666666666666666,-1.0,344.8762039963632,2375430.823558595,11813957.251551764
42003475330100,7,6,6,0.8571428571428571,-1.0,164.61153774896016,2376882.2511034748,11808519.482355174
42003475340100,4,3,3,0.75,-1.0,344.61798043767743,2407679.612064764,11699194.00942884
42003475360000,4,5,5,1.25,1.0,342.3615701150978,2345166.6562082777,11770679.584734514
42003475500000,5,4,4,0.8,-1.0,343.59139811623464,2353931.0689491276,11679005.386204682
42003475510000,5,4,4,0.8,-1.0,162.53718178043022,2344933.4873096626,11780728.145483144
42003475570000,6,5,5,0.8333333333333334,-1.0,160.35793405541833,2384531.7328098114,11787523.420998365
42003475610000,6,6,6,1.0,0.0,162.76560276779276,2382765.2036330802,11786728.513512664
42003475620000,6,5,6,0.8333333333333334,-1.0,343.3347307485807,2355130.3545120535,11677899.970657691
42003475700000,4,3,3,0.75,-1.0,165.05892977079313,2340196.10440227,11763637.609192237
42003475710000,6,5,5,0.8333333333333334,-1.0,346.20953387988584,2414567.247760123,11674730.000764355
42003475730100,7,6,6,0.8571428571428571,-1.0,346.02435663792176,2415875.3031983487,11675068.262198757
42003475740000,7,5,5,0.7142857142857143,-2.0,344.7504382519435,2417939.383297063,11675738.317650393
42003475800000,6,5,8,0.8333333333333334,-1.0,165.72033415099838,2423057.0383551326,11679642.069353066
42003475840000,9,8,8,0.8888888888888888,-1.0,164.97200015105182,2380015.403331004,11784140.323015267
42003475900000,7,7,7,1.0,0.0,165.8461046983069,2367721.707290972,11793628.240776313
42003475960000,7,6,6,0.8571428571428571,-1.0,343.27327816319155,2357853.3648228194,11678263.137367435
42003475990100,5,5,4,1.0,0.0,345.3926180031022,2368434.1932871807,11687869.399698563
42003475990200,5,5,4,1.0,0.0,346.91494167332013,2368522.2936971076,11687677.758606786
42003476010000,7,7,6,1.0,0.0,164.82362093299295,2375785.6289067715,11809829.670035014
42003476030000,6,5,5,0.8333333333333334,-1.0,342.316933125271,2380720.3353825407,11786562.741396645
42003476060000,3,3,4,1.0,0.0,345.08010959614097,2363786.5797410295,11761884.47408049
42003476080000,7,5,5,0.7142857142857143,-2.0,165.23868408665328,2362665.4978346843,11791685.757943552
42003476090000,7,6,6,0.8571428571428571,-1.0,166.03722896237625,2365307.280321048,11792524.04227382
42003476110000,8,6,6,0.75,-2.0,165.2440121029652,2379916.8300036592,11808044.981336677
42003476120000,5,4,4,0.8,-1.0,163.34701527982747,2339622.70766326,11762975.958857115
42003476160000,6,6,6,1.0,0.0,345.2354136329598,2371584.1328268694,11811358.43710534
